fov,x,y,bound_x_1,bound_x_2,bound_x_3,bound_x_4,bound_y_1,bound_y_2,bound_y_3,bound_y_4
1,1825,1429,1793,1793,1857,1857,1397,1461,1461,1397
2,1825,1493,1793,1793,1857,1857,1461,1525,1525,1461
3,1825,1557,1793,1793,1857,1857,1525,1589,1589,1525
4,1825,1621,1793,1793,1857,1857,1589,1653,1653,1589
5,1826,1685,1794,1794,1858,1858,1653,1717,1717,1653
6,1762,1732,1730,1730,1794,1794,1700,1764,1764,1700
7,1762,1668,1730,1730,1794,1794,1636,1700,1700,1636
8,1761,1604,1729,1729,1793,1793,1572,1636,1636,1572
9,1761,1540,1729,1729,1793,1793,1508,1572,1572,1508
10,1761,1476,1729,1729,1793,1793,1444,1508,1508,1444
11,1761,1412,1729,1729,1793,1793,1380,1444,1444,1380
12,1761,1348,1729,1729,1793,1793,1316,1380,1380,1316
13,1697,1290,1665,1665,1729,1729,1258,1322,1322,1258
14,1697,1377,1665,1665,1729,1729,1345,1409,1409,1345
15,1697,1441,1665,1665,1729,1729,1409,1473,1473,1409
16,1696,1505,1664,1664,1728,1728,1473,1537,1537,1473
17,1697,1570,1665,1665,1729,1729,1538,1602,1602,1538
18,1697,1634,1665,1665,1729,1729,1602,1666,1666,1602
19,1698,1698,1666,1666,1730,1730,1666,1730,1730,1666
20,1698,1763,1666,1666,1730,1730,1731,1795,1795,1731
21,1634,1747,1602,1602,1666,1666,1715,1779,1779,1715
22,1634,1683,1602,1602,1666,1666,1651,1715,1715,1651
23,1634,1556,1602,1602,1666,1666,1524,1588,1588,1524
24,1632,1492,1600,1600,1664,1664,1460,1524,1524,1460
25,1633,1428,1601,1601,1665,1665,1396,1460,1460,1396
26,1633,1364,1601,1601,1665,1665,1332,1396,1396,1332
27,1633,1274,1601,1601,1665,1665,1242,1306,1306,1242
28,1569,1304,1537,1537,1601,1601,1272,1336,1336,1272
29,1569,1368,1537,1537,1601,1601,1336,1400,1400,1336
30,1569,1432,1537,1537,1601,1601,1400,1464,1464,1400
31,1568,1496,1536,1536,1600,1600,1464,1528,1528,1464
32,1570,1683,1538,1538,1602,1602,1651,1715,1715,1651
33,1548,1619,1516,1516,1580,1580,1587,1651,1651,1587
34,1540,1555,1508,1508,1572,1572,1523,1587,1587,1523
35,1504,1491,1472,1472,1536,1536,1459,1523,1523,1459
36,1505,1427,1473,1473,1537,1537,1395,1459,1459,1395
37,1505,1363,1473,1473,1537,1537,1331,1395,1395,1331
38,1441,1379,1409,1409,1473,1473,1347,1411,1411,1347
39,1440,1443,1408,1408,1472,1472,1411,1475,1475,1411
40,1440,1507,1408,1408,1472,1472,1475,1539,1539,1475
