Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Material Type,Experimental Condition [Genotype],Characteristics [Developmental Stage],Assay Name,Comment [Image File Comments],Comment [Image File Type],Channels
TimEmbryos-102219-HybCycle_0,MMStack_Pos0.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos0,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos0.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos0,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos0.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos0,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos1.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos1,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos1.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos1,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos1.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos1,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos10.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos10,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos10.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos10,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos10.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos10,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos11.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos11,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos11.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos11,HybCycle_0,raw,A647; A488; Cy3B; DAPI
