Transformations for each folder named HybCycle
HybCycle,x,y,z
1,0.000,0.000,0.000
2,0.217,1.154,0.035
3,0.927,1.247,-0.021
4,2.022,0.907,0.060
5,3.125,1.906,0.081
6,2.218,1.140,0.029
7,2.000,0.690,0.058
8,2.499,0.543,0.069
9,2.286,0.512,-0.007
10,2.492,0.927,-0.007
11,2.016,1.500,0.025
12,2.412,1.909,0.084
13,3.133,0.863,0.012
14,4.777,2.218,-0.059
15,5.819,1.648,-0.174
16,5.032,1.500,-0.197
17,5.438,1.212,-0.127
18,4.363,0.524,-0.131
19,4.442,0.500,-0.019
20,4.158,0.958,0.008
21,3.165,0.146,0.061
22,3.500,1.403,0.078
23,3.768,1.767,0.169
24,5.816,3.489,0.075
25,6.066,3.536,0.173
26,4.968,3.016,-0.070
27,4.500,2.556,-0.051
28,4.967,1.410,-0.052
29,3.845,1.710,0.339
30,3.601,2.345,0.032
